date,basis,contract,category,long,short,spread,net,net_chg,pctile,z,traders_long,traders_short,oi
2006-12-19,combined,ust2y,other_rept,57555,59245,1764,-1690,-1334,,,18,14,716001
2006-12-19,combined,ust2y,nonrept,141817,122695,,19122,-10295,,,,,716001
2006-12-26,combined,ust2y,dealer,110940,143840,24146,-32900,-390,,,22,15,718501
2006-12-26,combined,ust2y,asset_mgr,282264,120156,30553,162108,6458,,,33,22,718501
2006-12-26,combined,ust2y,lev_money,71902,202278,15890,-130376,10196,,,21,27,718501
2006-12-26,combined,ust2y,other_rept,56795,69241,823,-12446,-10756,,,17,13,718501
2006-12-26,combined,ust2y,nonrept,125187,111574,,13613,-5509,,,,,718501
2007-01-03,combined,ust2y,dealer,124295,153597,27775,-29302,3598,,,20,14,758453
2007-01-03,combined,ust2y,asset_mgr,290286,121974,32140,168312,6204,,,34,21,758453
2007-01-03,combined,ust2y,lev_money,72010,200370,16408,-128360,2016,,,19,26,758453
2007-01-03,combined,ust2y,other_rept,63214,78074,983,-14860,-2414,,,19,13,758453
2007-01-03,combined,ust2y,nonrept,131342,127131,,4211,-9402,,,,,758453
2007-01-09,combined,ust2y,dealer,114995,157725,33363,-42730,-13428,,,23,17,794141
2007-01-09,combined,ust2y,asset_mgr,295761,115726,33510,180035,11723,,,37,21,794141
2007-01-09,combined,ust2y,lev_money,87955,222843,15790,-134888,-6528,,,18,25,794141
2007-01-09,combined,ust2y,other_rept,66459,80513,1368,-14054,806,,,18,14,794141
2007-01-09,combined,ust2y,nonrept,144941,133303,,11638,7427,,,,,794141
2007-01-16,combined,ust2y,dealer,101582,155702,25904,-54120,-11390,,,23,16,771272
2007-01-16,combined,ust2y,asset_mgr,300567,118115,36661,182452,2417,,,38,21,771272
2007-01-16,combined,ust2y,lev_money,100105,228102,14775,-127997,6891,,,18,30,771272
2007-01-16,combined,ust2y,other_rept,69012,80045,2460,-11033,3021,,,20,15,771272
2007-01-16,combined,ust2y,nonrept,120207,109509,,10698,-940,,,,,771272
2007-01-23,combined,ust2y,dealer,105142,138696,24030,-33554,20566,,,26,16,774553
2007-01-23,combined,ust2y,asset_mgr,289274,124368,38522,164906,-17546,,,37,22,774553
2007-01-23,combined,ust2y,lev_money,105921,234788,15825,-128867,-870,,,17,35,774553
2007-01-23,combined,ust2y,other_rept,65160,76164,2239,-11004,29,,,17,14,774553
2007-01-23,combined,ust2y,nonrept,128441,119922,,8519,-2179,,,,,774553
2007-01-30,combined,ust2y,dealer,143094,149249,21135,-6155,27399,,,29,16,806962
2007-01-30,combined,ust2y,asset_mgr,276218,131788,45213,144430,-20476,,,33,24,806962
2007-01-30,combined,ust2y,lev_money,109618,242527,15958,-132909,-4042,,,20,34,806962
2007-01-30,combined,ust2y,other_rept,66719,69881,2684,-3162,7842,,,19,14,806962
2007-01-30,combined,ust2y,nonrept,126324,128527,,-2203,-10722,,,,,806962
2007-02-06,combined,ust2y,dealer,180598,150433,26325,30165,36320,,,25,18,838979
2007-02-06,combined,ust2y,asset_mgr,278145,108768,58893,169377,24947,,,31,22,838979
2007-02-06,combined,ust2y,lev_money,68102,271249,20750,-203147,-70238,,,21,39,838979
2007-02-06,combined,ust2y,other_rept,69621,72264,3097,-2643,519,,,20,15,838979
2007-02-06,combined,ust2y,nonrept,133448,127201,,6247,8450,,,,,838979
2007-02-13,combined,ust2y,dealer,160145,154939,21594,5206,-24959,,,28,19,821042
2007-02-13,combined,ust2y,asset_mgr,281386,128500,58586,152886,-16491,,,30,24,821042
2007-02-13,combined,ust2y,lev_money,96506,272526,27820,-176020,27127,,,19,41,821042
2007-02-13,combined,ust2y,other_rept,57041,48972,2958,8069,10712,,,17,13,821042
2007-02-13,combined,ust2y,nonrept,115006,105149,,9857,3610,,,,,821042
2007-02-20,combined,ust2y,dealer,172946,169099,21947,3847,-1359,,,23,21,852208
2007-02-20,combined,ust2y,asset_mgr,282647,127585,69981,155062,2176,,,30,24,852208
2007-02-20,combined,ust2y,lev_money,97605,276408,29504,-178803,-2783,,,17,40,852208
2007-02-20,combined,ust2y,other_rept,56588,49116,4251,7472,-597,,,17,11,852208
2007-02-20,combined,ust2y,nonrept,116740,104318,,12422,2565,,,,,852208
2007-02-27,combined,ust2y,dealer,129713,112524,59908,17189,13342,,,21,21,879063
2007-02-27,combined,ust2y,asset_mgr,269355,136731,65206,132624,-22438,,,29,24,879063
2007-02-27,combined,ust2y,lev_money,100057,272218,62774,-172161,6642,,,20,36,879063
2007-02-27,combined,ust2y,other_rept,43626,41324,6798,2302,-5170,,,17,10,879063
2007-02-27,combined,ust2y,nonrept,141626,121579,,20047,7625,,,,,879063
2007-03-06,combined,ust2y,dealer,115314,150639,28760,-35325,-52514,,,20,26,850442
2007-03-06,combined,ust2y,asset_mgr,313455,165887,65859,147568,14944,,,33,21,850442
2007-03-06,combined,ust2y,lev_money,109642,267216,28917,-157574,14587,,,23,33,850442
2007-03-06,combined,ust2y,other_rept,47076,37326,2655,9750,7448,,,21,11,850442
2007-03-06,combined,ust2y,nonrept,138765,103183,,35582,15535,,,,,850442
2007-03-13,combined,ust2y,dealer,117050,156322,27743,-39272,-3947,,,25,28,854561
2007-03-13,combined,ust2y,asset_mgr,327422,210414,71477,117008,-30560,,,34,23,854561
2007-03-13,combined,ust2y,lev_money,132096,233194,30293,-101098,56476,,,20,34,854561
2007-03-13,combined,ust2y,other_rept,48067,41003,2712,7064,-2686,,,17,12,854561
2007-03-13,combined,ust2y,nonrept,97702,81404,,16298,-19284,,,,,854561
2007-03-20,combined,ust2y,dealer,144418,143737,28461,681,39953,,,22,30,920008
2007-03-20,combined,ust2y,asset_mgr,330729,259759,65851,70970,-46038,,,35,21,920008
2007-03-20,combined,ust2y,lev_money,134882,254534,23559,-119652,-18554,,,23,31,920008
2007-03-20,combined,ust2y,other_rept,54034,33168,3353,20866,13802,,,19,9,920008
2007-03-20,combined,ust2y,nonrept,134722,107587,,27135,10837,,,,,920008
2007-03-27,combined,ust2y,dealer,171898,128555,29725,43343,42662,,,31,27,965139
2007-03-27,combined,ust2y,asset_mgr,346351,292703,71687,53648,-17322,,,36,22,965139
2007-03-27,combined,ust2y,lev_money,124274,284182,16694,-159908,-40256,,,27,28,965139
2007-03-27,combined,ust2y,other_rept,64345,36434,3479,27911,7045,,,19,11,965139
2007-03-27,combined,ust2y,nonrept,136686,101680,,35006,7871,,,,,965139
2007-04-03,combined,ust2y,dealer,156565,102511,21927,54054,10711,,,27,24,957918
2007-04-03,combined,ust2y,asset_mgr,354743,300290,71589,54453,805,,,38,22,957918
2007-04-03,combined,ust2y,lev_money,116343,321626,14468,-205283,-45375,,,26,32,957918
2007-04-03,combined,ust2y,other_rept,71158,36712,2842,34446,6535,,,21,9,957918
2007-04-03,combined,ust2y,nonrept,148283,85954,,62329,27323,,,,,957918
2007-04-10,combined,ust2y,dealer,136118,146376,26395,-10258,-64312,,,27,29,1007144
2007-04-10,combined,ust2y,asset_mgr,384228,277493,79470,106735,52282,,,46,18,1007144
2007-04-10,combined,ust2y,lev_money,141465,328074,16329,-186609,18674,,,28,37,1007144
2007-04-10,combined,ust2y,other_rept,70414,35882,2646,34532,86,,,20,7,1007144
2007-04-10,combined,ust2y,nonrept,150080,94479,,55601,-6728,,,,,1007144
2007-04-17,combined,ust2y,dealer,111751,103173,42348,8578,18836,,,26,24,1008332
2007-04-17,combined,ust2y,asset_mgr,400608,325707,73772,74901,-31834,,,42,19,1008332
2007-04-17,combined,ust2y,lev_money,145047,309751,18603,-164704,21905,,,28,38,1008332
2007-04-17,combined,ust2y,other_rept,71239,46236,2661,25003,-9529,,,20,10,1008332
2007-04-17,combined,ust2y,nonrept,142303,86081,,56222,621,,,,,1008332
2007-04-24,combined,ust2y,dealer,161713,91591,23347,70122,61544,,,33,20,1031372
2007-04-24,combined,ust2y,asset_mgr,434355,317091,70932,117264,42363,,,47,19,1031372
2007-04-24,combined,ust2y,lev_money,113912,377589,14085,-263677,-98973,,,30,33,1031372
2007-04-24,combined,ust2y,other_rept,71236,47869,2709,23367,-1636,,,20,11,1031372
2007-04-24,combined,ust2y,nonrept,139083,86159,,52924,-3298,,,,,1031372
2007-05-01,combined,ust2y,dealer,155872,104580,46474,51292,-18830,,,32,20,1118102
2007-05-01,combined,ust2y,asset_mgr,450339,293960,69158,156379,39115,,,47,19,1118102
2007-05-01,combined,ust2y,lev_money,125707,421468,36451,-295761,-32084,,,25,35,1118102
2007-05-01,combined,ust2y,other_rept,81646,47411,3574,34235,10868,,,20,12,1118102
2007-05-01,combined,ust2y,nonrept,148881,95025,,53856,932,,,,,1118102
2007-05-08,combined,ust2y,dealer,132171,116462,54187,15709,-35583,,,38,18,1105897
2007-05-08,combined,ust2y,asset_mgr,427993,212911,92214,215082,58703,,,46,21,1105897
2007-05-08,combined,ust2y,lev_money,127555,459505,36998,-331950,-36189,,,24,38,1105897
2007-05-08,combined,ust2y,other_rept,88140,39370,3200,48770,14535,,,24,10,1105897
2007-05-08,combined,ust2y,nonrept,143440,91049,,52391,-1465,,,,,1105897
2007-05-15,combined,ust2y,dealer,151928,129875,54729,22053,6344,,,37,18,1149849
2007-05-15,combined,ust2y,asset_mgr,419767,232304,80352,187463,-27619,,,47,25,1149849
2007-05-15,combined,ust2y,lev_money,146135,468926,52445,-322791,9159,,,26,37,1149849
2007-05-15,combined,ust2y,other_rept,90489,38395,2459,52094,3324,,,23,10,1149849
2007-05-15,combined,ust2y,nonrept,151544,90364,,61180,8789,,,,,1149849
2007-05-22,combined,ust2y,dealer,121351,199448,123606,-78097,-100150,,,37,22,1244475
2007-05-22,combined,ust2y,asset_mgr,409161,250792,85031,158369,-29094,,,48,21,1244475
2007-05-22,combined,ust2y,lev_money,132639,397866,78953,-265227,57564,,,28,33,1244475
